"","Species","lon","lat","Presence"
"111","Araucaria_angustifolia",-49.62416667,-27.01611111,1
"112","Araucaria_angustifolia",-49.80555556,-26.12166667,1
"113","Araucaria_angustifolia",-49.40583333,-23.59138889,1
"114","Araucaria_angustifolia",-51.45861111,-25.38305556,1
"115","Araucaria_angustifolia",-51.63777778,-25.70472222,1
"116","Araucaria_angustifolia",-50.40083333,-26.95916667,1
"117","Araucaria_angustifolia",-50.44333333,-27.15027778,1
"118","Araucaria_angustifolia",-50.37638889,-26.20305556,1
"119","Araucaria_angustifolia",-49.62888889,-26.15111111,1
"120","Araucaria_angustifolia",-49.90222222,-26.34666667,1
"121","Araucaria_angustifolia",-50.17444,-29.48083,1
"122","Araucaria_angustifolia",-50.57556,-29.42056,1
"123","Araucaria_angustifolia",-51.24954,-29.27623,1
"124","Araucaria_angustifolia",-49.48611,-28.93528,1
"125","Araucaria_angustifolia",-49.94767,-28.439,1
"126","Araucaria_angustifolia",-49.94778,-28.43889,1
"127","Araucaria_angustifolia",-49.39732194,-28.39702027,1
"128","Araucaria_angustifolia",-50.55167,-28.34806,1
"129","Araucaria_angustifolia",-49.91666,-28.3,1
"130","Araucaria_angustifolia",-49.76908,-28.26053,1
"131","Araucaria_angustifolia",-50.67011,-28.26019,1
"132","Araucaria_angustifolia",-49.49833,-28.08278,1
"133","Araucaria_angustifolia",-50.84972,-28.035,1
"134","Araucaria_angustifolia",-49.82207,-28.02516,1
"135","Araucaria_angustifolia",-49.49194,-28.01306,1
"136","Araucaria_angustifolia",-50.80361,-27.98889,1
"137","Araucaria_angustifolia",-50.1275,-27.9275,1
"138","Araucaria_angustifolia",-51.155,-27.90139,1
"139","Araucaria_angustifolia",-49.79089,-27.90072,1
"140","Araucaria_angustifolia",-50.34694,-27.83278,1
"141","Araucaria_angustifolia",-51.24056,-27.82694,1
"142","Araucaria_angustifolia",-50.32648464,-27.82000884,1
"143","Araucaria_angustifolia",-49.48982509,-27.80111257,1
"144","Araucaria_angustifolia",-49.41083,-27.62917,1
"145","Araucaria_angustifolia",-50.80486,-27.48511,1
"146","Araucaria_angustifolia",-50.80559,-27.48451,1
"147","Araucaria_angustifolia",-50.8063,-27.48404,1
"148","Araucaria_angustifolia",-51.22472,-27.40167,1
"149","Araucaria_angustifolia",-51.56778,-27.36111,1
"150","Araucaria_angustifolia",-55.53,-27.32,1
"151","Araucaria_angustifolia",-55.53333,-27.31666,1
"152","Araucaria_angustifolia",-50.58528,-27.28333,1
"153","Araucaria_angustifolia",-49.64373269,-27.21830456,1
"154","Araucaria_angustifolia",-51.66247403,-27.07469264,1
"155","Araucaria_angustifolia",-51,-27,1
"156","Araucaria_angustifolia",-50.4273865,-26.96469766,1
"157","Araucaria_angustifolia",-51.38831,-26.90733,1
"158","Araucaria_angustifolia",-49.07914,-26.9055,1
"159","Araucaria_angustifolia",-50.964,-26.86122,1
"160","Araucaria_angustifolia",-54.13333,-26.65,1
"161","Araucaria_angustifolia",-54.13,-26.65,1
"162","Araucaria_angustifolia",-54.09985,-26.63014,1
"163","Araucaria_angustifolia",-51.40056,-26.54611,1
"164","Araucaria_angustifolia",-51.99139302,-26.48828344,1
"165","Araucaria_angustifolia",-49.51234,-26.4321,1
"166","Araucaria_angustifolia",-52.7951,-26.4284,1
"167","Araucaria_angustifolia",-49.68611,-26.3675,1
"168","Araucaria_angustifolia",-48.84389,-26.30139,1
"169","Araucaria_angustifolia",-49.30444,-26.25556,1
"170","Araucaria_angustifolia",-50.39037926,-26.18108767,1
"171","Araucaria_angustifolia",-50.30806,-26.11583,1
"172","Araucaria_angustifolia",-50.32257411,-26.11058705,1
"173","Araucaria_angustifolia",-53.76666,-26.03333,1
"174","Araucaria_angustifolia",-53.77,-26.03,1
"175","Araucaria_angustifolia",-49.19949459,-25.93218959,1
"176","Araucaria_angustifolia",-48.8347669,-25.48078485,1
"177","Araucaria_angustifolia",-50.65149336,-25.47107691,1
"179","Araucaria_angustifolia",-49.23694,-25.44278,1
"180","Araucaria_angustifolia",-49.99864,-25.41969,1
"181","Araucaria_angustifolia",-49.26667,-25.41667,1
"182","Araucaria_angustifolia",-49.11492,-25.40189,1
"183","Araucaria_angustifolia",-49.25983,-25.39753,1
"184","Araucaria_angustifolia",-49.12072,-25.38286,1
"185","Araucaria_angustifolia",-49.12539,-25.38119,1
"186","Araucaria_angustifolia",-49.26017,-25.36431,1
"187","Araucaria_angustifolia",-53.96583,-25.33111,1
"188","Araucaria_angustifolia",-49.16305,-25.325,1
"189","Araucaria_angustifolia",-49.16778,-25.32278,1
"190","Araucaria_angustifolia",-49.15917,-25.32194,1
"191","Araucaria_angustifolia",-49.15861,-25.31583,1
"192","Araucaria_angustifolia",-53.15756483,-25.20716011,1
"193","Araucaria_angustifolia",-51.57261,-25.06989,1
"194","Araucaria_angustifolia",-51.5645,-25.04356,1
"195","Araucaria_angustifolia",-52,-25,1
"196","Araucaria_angustifolia",-52.30986,-24.20614,1
"197","Araucaria_angustifolia",-50.30842,-24.14306,1
"198","Araucaria_angustifolia",-52.3,-24.1,1
"199","Araucaria_angustifolia",-52.36075,-24.04861,1
"200","Araucaria_angustifolia",-52.35992,-24.01689,1
"201","Araucaria_angustifolia",-46.7725,-23.66306,1
"203","Araucaria_angustifolia",-46.63040635,-23.54416359,1
"204","Araucaria_angustifolia",-46.91878,-23.23011,1
"205","Araucaria_angustifolia",-45.31,-23.2217,1
"207","Araucaria_angustifolia",-45.59033244,-22.7338533,1
"208","Araucaria_angustifolia",-45.31972,-22.58194,1
"209","Araucaria_angustifolia",-45.31958,-22.58192,1
"210","Araucaria_angustifolia",-43.0084,-22.5309,1
"213","Araucaria_angustifolia",-44.56336132,-22.49995142,1
"216","Araucaria_angustifolia",-54,-30,1
"220","Araucaria_angustifolia",-49.409888,-27.735083,1
"221","Araucaria_angustifolia",-49.336113,-27.685833,1
"222","Araucaria_angustifolia",-49.40788,-27.6628,1
"223","Araucaria_angustifolia",-50.04889,-27.62254,1
"224","Araucaria_angustifolia",-50.58593,-27.82932,1
"225","Araucaria_angustifolia",-50.157349,-27.928608,1
"226","Araucaria_angustifolia",-50.08415,-27.83988,1
